data,genero,munic�pio,frequencia,meio_transporte,segura_em_caronas,segura_em_transporte_publico,segura_em_taxi_uber, segura_motorista_genero_oposto,segura_motorista_mesmo_genero,requisitaria_caronas,frequencia_requisitar_caronas,importancia_escolher_motorista, importancia_genero_verificado,oferecer_caronas,frequencia_oferecer_caronas,importancia_saber_trajeto,importancia_dados_user,importancia_genero_verificado_user
2022/07/10 4:25:57 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Carro Próprio,Pouco segura,Razoavelmente segura,Razoavelmente segura,Nada segura,Razoavelmente segura,,,,,,,,Condição de eu ja ser conhecida dessa mulher,3-5 vezes por semana,Muito importante,Muito importante,Muito importante,Muito importante,Nada importante
2022/07/10 5:08:05 PM GMT-3,Masculino,Araçoiaba da Serra,3 - 5 vezes por semana,Carro Próprio,Pouco segura,Razoavelmente segura,Razoavelmente segura,Muito segura,Razoavelmente segura,,,,,,,,Mesmo trajeto que eu esteja fazendo.,Ocasionalmente,Muito importante,Razoavelmente importante,Muito importante,Pouco importante,Pouco importante
2022/07/10 7:28:09 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Muito segura,Razoavelmente segura,Razoavelmente segura,Muito segura,Todas,3-5 vezes por semana,Pouco importante,Muito importante,Nada importante,Muito importante,Razoavelmente importante,,,,,,,
"2022/07/11 2:12:03 AM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Muito segura,Razoavelmente segura,Muito segura,Muito segura,""Em situações de urgência: acordei tarde e irei perder uma prova, por exemplo. Me sinto relativamente confortável indo de ônibus e imagino que para ir/voltar de carona toda semana seja caro (mais caro que um passe de ônibus estudantil)."",Só em casos de emergência,Nada importante,Razoavelmente importante,Razoavelmente importante,Muito importante,Nada importante,,,,,,,"
"2022/07/11 6:47:19 AM GMT-3,Masculino,Sorocaba,3 - 5 vezes por semana,Carro Próprio,Pouco segura,Razoavelmente segura,Razoavelmente segura,Muito segura,Razoavelmente segura,,,,,,,,""Utilizo minha moto (não tinha a opção na pergunta anterior) para me locomover, por isso, não vejo condições. "
"Mas se utilizasse carro, eu apenas verificaria os horários necessários e, sendo parecidos com os meus, aceitaria dar carona tranquilamente."",3-5 vezes por semana,Muito importante,Muito importante,Pouco importante,Pouco importante,Razoavelmente importante"
2022/07/11 2:43:13 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Nada segura,Razoavelmente segura,Pouco segura,Pouco segura,Muito segura,Se eu conhecer a pessoa ou alguém que eu confio conhecer,1-2 vezes por semana,Razoavelmente importante,Muito importante,Pouco importante,Razoavelmente importante,Muito importante,,,,,,,
2022/07/12 12:38:45 AM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Ônibus,Razoavelmente segura,Razoavelmente segura,Razoavelmente segura,Pouco segura,Muito segura,Em tds as condições.,1-2 vezes por semana,Muito importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Muito importante,,,,,,,
"2022/07/13 6:20:40 PM GMT-3,Feminino,Votorantim,3 - 5 vezes por semana,Carro Próprio,Nada segura,Razoavelmente segura,Pouco segura,Pouco segura,Razoavelmente segura,,,,,,,,""Conhecendo a pessoa, ou se o contexto em que a pessoa estiver der indícios de ter vínculo com a UFSCar (aluna, TA ou docente)"",3-5 vezes por semana,Pouco importante,Muito importante,Nada importante,Nada importante,Pouco importante"
2022/07/13 6:45:18 PM GMT-3,Feminino,Sorocaba,3 - 5 vezes por semana,Uber/Táxi,Muito segura,Razoavelmente segura,Razoavelmente segura,Razoavelmente segura,Muito segura,Apenas se eu conhecer a pessoa.,Só em casos de emergência,Muito importante,Muito importante,Pouco importante,Razoavelmente importante,Razoavelmente importante,,,,,,,
2022/07/14 12:28:51 PM GMT-3,Feminino,Votorantim,1 - 2 vezes por semana,Carro Próprio,Razoavelmente segura,Razoavelmente segura,Razoavelmente segura,Razoavelmente segura,Razoavelmente segura,,,,,,,,É só a pessoa usar máscara durante o trajeto. Daria carona sempre que possivel.,1-2 vezes por semana,Muito importante,Pouco importante,Nada importante,Pouco importante,Pouco importante
